type,segmen,day,amount,saldo_awal,drain_ratio,jam,cluster,is_iqr,is_z,is_iso,anomaly_vote,dist,top_reason,anomali,fraud
CASH_IN,CASH_IN · nominal sedang,11,75674,23931138,0.003,15,0,1,1,0,2,0.63,saldo awal pengirim sangat ekstrem,1,0
PAYMENT,PAYMENT · nominal kecil,6,5644,744,7.586,13,1,0,0,0,0,2.32,menguras hampir seluruh saldo,0,0
CASH_IN,CASH_IN · nominal sedang,2,158288,26469472,0.006,14,0,1,1,0,2,0.76,saldo awal pengirim sangat ekstrem,1,0
CASH_OUT,CASH_OUT · nominal besar,17,89433,15504,5.768,18,3,0,0,0,0,1.67,menguras hampir seluruh saldo,0,0
CASH_OUT,PAYMENT · nominal kecil,6,254441,254441,1.0,1,4,0,0,0,0,4.01,saldo pengirim tidak konsisten secara logika,0,1
TRANSFER,CASH_OUT · nominal besar,10,128631,0,0.0,11,2,0,0,0,0,1.51,menguras hampir seluruh saldo,0,0
CASH_IN,CASH_OUT · nominal besar,8,550838,42902,10.0,12,3,1,1,0,2,2.97,saldo tujuan sangat ekstrem,1,0
CASH_OUT,PAYMENT · nominal kecil,8,7006,618432,0.011,10,4,1,0,0,1,2.53,menguras hampir seluruh saldo,0,0
CASH_OUT,CASH_OUT · nominal besar,1,27471,0,0.0,15,2,0,0,0,0,1.07,menguras hampir seluruh saldo,0,0
TRANSFER,PAYMENT · nominal kecil,2,82972,82972,1.0,22,4,1,0,1,2,3.05,saldo pengirim tidak konsisten secara logika,1,1
CASH_IN,CASH_IN · nominal sedang,6,177680,17977822,0.01,15,0,1,1,0,2,0.77,saldo awal pengirim sangat ekstrem,1,0
CASH_IN,CASH_IN · nominal sedang,13,114181,10166057,0.011,19,0,1,1,0,2,0.98,saldo awal pengirim sangat ekstrem,1,0
CASH_IN,CASH_IN · nominal sedang,10,94004,10983964,0.009,12,0,1,1,0,2,0.97,saldo awal pengirim sangat ekstrem,1,0
CASH_IN,CASH_IN · nominal sedang,9,248820,13252365,0.019,14,0,1,1,0,2,0.8,saldo awal pengirim sangat ekstrem,1,0
CASH_IN,CASH_IN · nominal sedang,15,56545,5637384,0.01,20,0,1,0,0,1,1.21,saldo awal pengirim sangat ekstrem,0,0
CASH_OUT,CASH_OUT · nominal besar,15,199804,0,0.0,11,2,0,0,0,0,1.07,menguras hampir seluruh saldo,0,0
CASH_OUT,CASH_OUT · nominal besar,9,280629,28209,9.948,13,3,1,0,0,1,1.23,menguras hampir seluruh saldo,0,0
CASH_OUT,PAYMENT · nominal kecil,1,113944,102279,1.114,14,4,1,0,0,1,3.42,saldo tujuan tidak konsisten secara logika,0,0
CASH_OUT,CASH_OUT · nominal besar,14,80224,0,0.0,23,2,0,0,0,0,1.85,menguras hampir seluruh saldo,0,0
TRANSFER,CASH_OUT · nominal besar,1,915732,47407,10.0,7,3,1,1,1,3,3.84,saldo tujuan tidak konsisten secara logika,1,0
TRANSFER,PAYMENT · nominal kecil,2,20315,20315,1.0,16,4,1,0,0,1,2.23,saldo pengirim tidak konsisten secara logika,0,1
CASH_IN,CASH_IN · nominal sedang,10,42526,24260978,0.002,13,0,1,1,0,2,1.01,saldo awal pengirim sangat ekstrem,1,0
TRANSFER,CASH_OUT · nominal besar,16,6510420,0,0.0,11,2,1,1,0,2,2.69,nominal transaksi sangat ekstrem,1,0
CASH_OUT,CASH_OUT · nominal besar,1,204741,0,0.0,20,2,0,0,0,0,1.15,menguras hampir seluruh saldo,0,0
CASH_IN,CASH_IN · nominal sedang,6,147081,13511895,0.011,10,0,1,1,0,2,1.41,saldo awal pengirim sangat ekstrem,1,0
TRANSFER,CASH_OUT · nominal besar,16,5616414,10284,10.0,10,3,1,1,1,3,3.01,nominal transaksi sangat ekstrem,1,0
TRANSFER,CASH_OUT · nominal besar,13,8517064,0,0.0,16,2,1,1,0,2,2.63,nominal transaksi sangat ekstrem,1,0
CASH_OUT,PAYMENT · nominal kecil,13,633384,633384,1.0,14,4,1,0,0,1,2.65,nominal transaksi sangat ekstrem,0,1
TRANSFER,CASH_OUT · nominal besar,14,10000000,234968,10.0,15,3,1,1,1,3,4.24,nominal transaksi sangat ekstrem,1,0
CASH_IN,CASH_IN · nominal sedang,13,17129,100316,0.171,22,0,1,1,0,2,2.06,saldo tujuan sangat ekstrem,1,0
CASH_OUT,CASH_OUT · nominal besar,8,219007,216,10.0,12,3,1,0,0,1,1.68,menguras hampir seluruh saldo,0,0
CASH_IN,CASH_IN · nominal sedang,29,132646,45443,2.919,18,0,1,0,0,1,1.06,saldo tujuan tidak konsisten secara logika,0,0
TRANSFER,PAYMENT · nominal kecil,1,11308,11308,1.0,9,4,1,0,1,2,2.61,saldo pengirim tidak konsisten secara logika,1,1
PAYMENT,PAYMENT · nominal kecil,13,25061,0,0.0,19,1,0,0,0,0,1.15,menguras hampir seluruh saldo,0,0
CASH_OUT,PAYMENT · nominal kecil,9,362631,362631,1.0,20,4,0,0,0,0,2.8,saldo pengirim tidak konsisten secara logika,0,1
CASH_IN,CASH_IN · nominal sedang,13,36992,10741388,0.003,18,0,1,1,0,2,1.02,saldo awal pengirim sangat ekstrem,1,0
CASH_IN,CASH_IN · nominal sedang,2,63147,42318,1.492,10,0,1,0,0,1,1.78,saldo tujuan sangat ekstrem,0,0
CASH_OUT,CASH_OUT · nominal besar,25,312067,10333,10.0,12,3,1,0,0,1,1.75,menguras hampir seluruh saldo,0,0
CASH_IN,CASH_IN · nominal sedang,2,258319,24377824,0.011,18,0,1,1,0,2,1.01,saldo awal pengirim sangat ekstrem,1,0
CASH_IN,CASH_IN · nominal sedang,8,6088,19357738,0.0,16,0,1,1,0,2,1.86,saldo awal pengirim sangat ekstrem,1,0
CASH_OUT,CASH_OUT · nominal besar,7,30540,0,0.0,18,2,0,0,0,0,1.19,menguras hampir seluruh saldo,0,0
CASH_OUT,PAYMENT · nominal kecil,17,879810,879810,1.0,2,4,1,0,0,1,4.48,nominal transaksi sangat ekstrem,0,1
CASH_OUT,PAYMENT · nominal kecil,11,110344,110344,1.0,1,4,0,0,0,0,4.05,saldo pengirim tidak konsisten secara logika,0,1
TRANSFER,PAYMENT · nominal kecil,21,296940,296940,1.0,15,4,1,0,1,2,3.19,saldo tujuan tidak konsisten secara logika,1,1
TRANSFER,PAYMENT · nominal kecil,3,271731,271731,1.0,21,4,1,0,1,2,3.39,saldo tujuan tidak konsisten secara logika,1,1
CASH_IN,CASH_IN · nominal sedang,9,215526,16575590,0.013,21,0,1,1,0,2,1.51,saldo awal pengirim sangat ekstrem,1,0
TRANSFER,CASH_IN · nominal sedang,31,765105,765105,1.0,6,0,1,0,1,2,4.17,saldo tujuan tidak konsisten secara logika,1,1
CASH_OUT,CASH_OUT · nominal besar,12,101660,17748,5.728,14,3,1,1,0,2,1.4,saldo tujuan sangat ekstrem,1,0
PAYMENT,PAYMENT · nominal kecil,12,23664,410177,0.058,20,4,0,0,0,0,1.27,menguras hampir seluruh saldo,0,0
CASH_OUT,PAYMENT · nominal kecil,24,776303,776303,1.0,5,4,1,0,0,1,3.97,nominal transaksi sangat ekstrem,0,1
CASH_IN,CASH_IN · nominal sedang,7,387618,11477517,0.034,13,0,1,1,0,2,1.06,saldo awal pengirim sangat ekstrem,1,0
CASH_IN,CASH_IN · nominal sedang,1,115839,11503502,0.01,11,0,1,1,0,2,1.11,saldo awal pengirim sangat ekstrem,1,0
TRANSFER,CASH_OUT · nominal besar,9,2398221,0,0.0,20,2,1,1,0,2,2.25,nominal transaksi sangat ekstrem,1,0
CASH_IN,CASH_OUT · nominal besar,10,274138,7044,10.0,18,3,1,0,0,1,2.47,menguras hampir seluruh saldo,0,0
TRANSFER,CASH_IN · nominal sedang,21,1028516,1028516,1.0,18,0,1,0,1,2,3.68,saldo tujuan tidak konsisten secara logika,1,1
CASH_OUT,PAYMENT · nominal kecil,23,40784,172743,0.236,10,4,1,1,0,2,2.82,saldo tujuan sangat ekstrem,1,0
TRANSFER,PAYMENT · nominal kecil,24,58864,58864,1.0,22,4,1,0,1,2,2.94,saldo pengirim tidak konsisten secara logika,1,1
CASH_OUT,CASH_OUT · nominal besar,8,2222008,2222008,1.0,10,3,1,1,0,2,3.75,nominal transaksi sangat ekstrem,1,1
PAYMENT,PAYMENT · nominal kecil,14,4785,148,10.0,0,1,1,0,1,2,4.5,menguras hampir seluruh saldo,1,0
CASH_OUT,CASH_OUT · nominal besar,15,114968,9251,10.0,13,3,1,0,0,1,1.26,menguras hampir seluruh saldo,0,0
CASH_IN,CASH_IN · nominal sedang,7,299253,2547775,0.117,15,0,1,0,0,1,0.85,saldo tujuan sangat ekstrem,0,0
TRANSFER,CASH_OUT · nominal besar,14,2586954,10408,10.0,17,3,1,1,0,2,2.48,nominal transaksi sangat ekstrem,1,0
CASH_OUT,CASH_OUT · nominal besar,14,110693,39655,2.791,19,3,1,1,0,2,2.08,saldo tujuan sangat ekstrem,1,0
TRANSFER,PAYMENT · nominal kecil,12,558050,558050,1.0,20,4,1,0,1,2,3.64,saldo tujuan tidak konsisten secara logika,1,1
CASH_IN,CASH_IN · nominal sedang,8,173869,18072798,0.01,14,0,1,1,0,2,0.81,saldo awal pengirim sangat ekstrem,1,0
TRANSFER,CASH_IN · nominal sedang,12,2219475,2219475,1.0,4,0,1,1,1,3,4.62,saldo tujuan tidak konsisten secara logika,1,1
TRANSFER,CASH_OUT · nominal besar,10,243672,0,0.0,9,2,0,0,0,0,1.87,menguras hampir seluruh saldo,0,0
TRANSFER,CASH_IN · nominal sedang,9,660746,660746,1.0,1,0,1,0,1,2,4.85,saldo tujuan tidak konsisten secara logika,1,1
CASH_OUT,CASH_OUT · nominal besar,7,320985,241086,1.331,10,3,0,0,0,0,2.33,saldo tujuan sangat ekstrem,0,0
CASH_OUT,CASH_OUT · nominal besar,6,299484,10228,10.0,10,3,1,0,0,1,1.57,menguras hampir seluruh saldo,0,0
TRANSFER,CASH_IN · nominal sedang,17,10000000,44892192,0.223,3,0,1,1,1,3,5.17,saldo tujuan tidak konsisten secara logika,1,1
CASH_IN,CASH_IN · nominal sedang,14,450858,1450428,0.311,22,0,1,0,0,1,1.82,saldo tujuan tidak konsisten secara logika,0,0
CASH_IN,CASH_IN · nominal sedang,11,366597,304202,1.205,10,0,1,0,0,1,1.51,saldo tujuan tidak konsisten secara logika,0,0
CASH_IN,CASH_OUT · nominal besar,9,106108,3396,10.0,10,3,1,0,0,1,2.6,menguras hampir seluruh saldo,0,0
CASH_OUT,PAYMENT · nominal kecil,13,70174,70174,1.0,6,4,0,0,0,0,3.02,saldo pengirim tidak konsisten secara logika,0,1
CASH_OUT,CASH_OUT · nominal besar,13,212144,0,0.0,11,2,0,0,0,0,1.09,menguras hampir seluruh saldo,0,0
TRANSFER,CASH_OUT · nominal besar,21,2906734,17924,10.0,12,3,1,1,0,2,2.28,nominal transaksi sangat ekstrem,1,0
CASH_IN,CASH_IN · nominal sedang,17,38522,13681530,0.003,19,0,1,1,0,2,1.17,saldo awal pengirim sangat ekstrem,1,0
PAYMENT,PAYMENT · nominal kecil,24,19631,86293,0.227,13,4,0,0,0,0,0.84,menguras hampir seluruh saldo,0,0
CASH_IN,CASH_OUT · nominal besar,12,193807,23237,8.34,15,3,1,0,0,1,2.52,menguras hampir seluruh saldo,0,0
TRANSFER,CASH_OUT · nominal besar,1,2003796,0,0.0,12,2,1,1,0,2,2.03,nominal transaksi sangat ekstrem,1,0
TRANSFER,CASH_OUT · nominal besar,17,2268079,51185,10.0,10,3,1,1,0,2,2.39,nominal transaksi sangat ekstrem,1,0
PAYMENT,PAYMENT · nominal kecil,14,33159,0,0.0,10,1,0,0,0,0,1.52,menguras hampir seluruh saldo,0,0
CASH_OUT,PAYMENT · nominal kecil,11,113130,159727,0.708,20,4,0,0,0,0,2.67,menguras hampir seluruh saldo,0,0
TRANSFER,CASH_OUT · nominal besar,22,278327,0,0.0,14,2,0,0,0,0,1.21,menguras hampir seluruh saldo,0,0
PAYMENT,PAYMENT · nominal kecil,9,8019,49748,0.161,21,4,0,0,0,0,1.35,menguras hampir seluruh saldo,0,0
TRANSFER,PAYMENT · nominal kecil,30,119306,119306,1.0,23,4,1,0,1,2,3.29,saldo pengirim tidak konsisten secara logika,1,1
CASH_OUT,CASH_OUT · nominal besar,17,212805,1829,10.0,17,3,1,0,0,1,1.64,menguras hampir seluruh saldo,0,0
CASH_OUT,PAYMENT · nominal kecil,14,31760,286697,0.111,12,4,0,0,0,0,2.06,menguras hampir seluruh saldo,0,0
CASH_IN,CASH_IN · nominal sedang,10,36237,11107316,0.003,18,0,1,1,0,2,1.06,saldo awal pengirim sangat ekstrem,1,0
CASH_OUT,PAYMENT · nominal kecil,22,1200703,1200703,1.0,19,4,1,0,0,1,3.42,nominal transaksi sangat ekstrem,0,1
CASH_OUT,PAYMENT · nominal kecil,27,696575,696575,1.0,7,4,1,0,0,1,3.32,nominal transaksi sangat ekstrem,0,1
PAYMENT,PAYMENT · nominal kecil,8,20195,254524,0.079,14,4,0,0,0,0,0.74,menguras hampir seluruh saldo,0,0
TRANSFER,CASH_OUT · nominal besar,8,279602,0,0.0,20,2,0,0,0,0,1.59,menguras hampir seluruh saldo,0,0
TRANSFER,CASH_IN · nominal sedang,7,1336901,1336901,1.0,17,0,1,0,1,2,3.7,saldo tujuan tidak konsisten secara logika,1,1
PAYMENT,PAYMENT · nominal kecil,2,2704,0,0.0,19,1,0,0,0,0,1.16,menguras hampir seluruh saldo,0,0
CASH_IN,CASH_IN · nominal sedang,9,90871,10517905,0.009,12,0,1,1,0,2,1.03,saldo awal pengirim sangat ekstrem,1,0
CASH_OUT,CASH_OUT · nominal besar,9,178369,0,0.0,10,2,1,1,0,2,1.33,saldo tujuan sangat ekstrem,1,0
TRANSFER,CASH_OUT · nominal besar,13,2443149,342268,7.138,11,3,1,1,0,2,2.51,nominal transaksi sangat ekstrem,1,0
TRANSFER,CASH_OUT · nominal besar,6,2033418,0,0.0,13,2,1,1,0,2,1.96,nominal transaksi sangat ekstrem,1,0
PAYMENT,PAYMENT · nominal kecil,8,24126,39969,0.604,17,4,0,0,0,0,0.77,menguras hampir seluruh saldo,0,0
CASH_IN,CASH_IN · nominal sedang,1,197811,7310085,0.027,14,0,1,1,0,2,0.87,saldo tujuan sangat ekstrem,1,0
CASH_OUT,CASH_OUT · nominal besar,11,169588,245,10.0,15,3,1,1,0,2,3.23,saldo tujuan tidak konsisten secara logika,1,0
PAYMENT,PAYMENT · nominal kecil,10,13294,0,0.0,10,1,0,0,0,0,1.32,menguras hampir seluruh saldo,0,0
TRANSFER,PAYMENT · nominal kecil,28,150206,150206,1.0,1,4,1,0,1,2,4.44,saldo pengirim tidak konsisten secara logika,1,1
TRANSFER,CASH_IN · nominal sedang,2,7567170,7567170,1.0,14,0,1,1,1,3,4.19,saldo tujuan tidak konsisten secara logika,1,1
TRANSFER,CASH_OUT · nominal besar,15,2956792,23240,10.0,17,3,1,1,0,2,2.53,nominal transaksi sangat ekstrem,1,0
CASH_IN,CASH_IN · nominal sedang,16,332418,52041,6.388,12,0,1,0,0,1,1.93,saldo tujuan tidak konsisten secara logika,0,0
CASH_OUT,CASH_OUT · nominal besar,8,170332,286,10.0,14,3,1,0,0,1,1.13,menguras hampir seluruh saldo,0,0
TRANSFER,PAYMENT · nominal kecil,8,90346,90346,1.0,16,4,1,0,1,2,2.69,saldo pengirim tidak konsisten secara logika,1,1
PAYMENT,PAYMENT · nominal kecil,1,4301,0,0.0,7,1,0,0,0,0,2.0,menguras hampir seluruh saldo,0,0
CASH_OUT,CASH_OUT · nominal besar,1,480214,94453,5.084,10,3,1,0,0,1,3.04,saldo tujuan tidak konsisten secara logika,0,0
CASH_OUT,PAYMENT · nominal kecil,11,163354,163354,1.0,21,4,1,0,0,1,3.02,saldo tujuan sangat ekstrem,0,1
CASH_IN,CASH_IN · nominal sedang,2,1242820,13144352,0.095,18,0,1,1,0,2,1.74,saldo tujuan tidak konsisten secara logika,1,0
TRANSFER,CASH_IN · nominal sedang,22,684266,684266,1.0,8,0,1,0,1,2,3.93,saldo tujuan tidak konsisten secara logika,1,1
TRANSFER,CASH_OUT · nominal besar,13,10000000,0,0.0,16,2,1,1,1,3,3.84,saldo tujuan tidak konsisten secara logika,1,0
CASH_IN,CASH_IN · nominal sedang,11,635619,22531980,0.028,16,0,1,1,0,2,1.26,saldo awal pengirim sangat ekstrem,1,0
CASH_OUT,CASH_OUT · nominal besar,9,96815,0,0.0,10,2,1,1,0,2,1.35,saldo tujuan sangat ekstrem,1,0
PAYMENT,PAYMENT · nominal kecil,1,4755,0,0.0,15,1,0,0,0,0,0.53,menguras hampir seluruh saldo,0,0
CASH_OUT,CASH_OUT · nominal besar,14,30922,0,0.0,20,2,0,0,0,0,1.47,menguras hampir seluruh saldo,0,0
CASH_IN,CASH_IN · nominal sedang,9,653458,5441321,0.12,11,0,1,1,0,2,1.64,saldo tujuan sangat ekstrem,1,0
PAYMENT,PAYMENT · nominal kecil,6,7048,42880,0.164,20,4,0,0,0,0,1.14,menguras hampir seluruh saldo,0,0
CASH_IN,CASH_IN · nominal sedang,2,169776,10679982,0.016,2,0,1,1,0,2,3.13,saldo awal pengirim sangat ekstrem,1,0
CASH_OUT,PAYMENT · nominal kecil,4,28309,28309,1.0,19,4,0,0,0,0,1.56,saldo pengirim tidak konsisten secara logika,0,1
CASH_IN,CASH_OUT · nominal besar,17,183220,294,10.0,14,3,1,0,0,1,2.44,menguras hampir seluruh saldo,0,0
CASH_IN,CASH_IN · nominal sedang,15,52211,1194050,0.044,17,0,1,0,0,1,0.72,menguras hampir seluruh saldo,0,0
CASH_OUT,CASH_OUT · nominal besar,9,128863,0,0.0,10,2,1,1,0,2,1.33,saldo tujuan sangat ekstrem,1,0
TRANSFER,CASH_OUT · nominal besar,6,1541378,11424,10.0,12,3,1,0,0,1,2.08,nominal transaksi sangat ekstrem,0,0
CASH_OUT,CASH_OUT · nominal besar,13,93899,0,0.0,16,2,0,0,0,0,0.54,menguras hampir seluruh saldo,0,0
TRANSFER,CASH_OUT · nominal besar,2,6753,0,0.0,11,2,1,1,1,3,3.42,saldo tujuan tidak konsisten secara logika,1,0
TRANSFER,PAYMENT · nominal kecil,22,346293,346293,1.0,12,4,1,0,1,2,3.36,saldo tujuan tidak konsisten secara logika,1,1
CASH_IN,CASH_IN · nominal sedang,10,122676,16107883,0.008,13,0,1,1,0,2,0.75,saldo awal pengirim sangat ekstrem,1,0
CASH_OUT,PAYMENT · nominal kecil,31,3912253,3912253,1.0,16,4,1,1,0,2,3.59,nominal transaksi sangat ekstrem,1,1
PAYMENT,PAYMENT · nominal kecil,25,14866,13956,1.065,9,4,0,0,0,0,2.12,saldo pengirim tidak konsisten secara logika,0,0
TRANSFER,PAYMENT · nominal kecil,5,5624,5624,1.0,1,4,1,0,1,2,3.96,saldo pengirim tidak konsisten secara logika,1,1
CASH_OUT,CASH_OUT · nominal besar,9,221546,24656,8.985,15,3,1,0,0,1,1.0,menguras hampir seluruh saldo,0,0
CASH_OUT,CASH_OUT · nominal besar,2,261498,59574,4.389,12,3,0,0,0,0,1.34,menguras hampir seluruh saldo,0,0
PAYMENT,PAYMENT · nominal kecil,6,13720,184712,0.074,16,4,0,0,0,0,0.53,menguras hampir seluruh saldo,0,0
CASH_OUT,CASH_OUT · nominal besar,2,84092,0,0.0,20,2,0,0,0,0,1.19,menguras hampir seluruh saldo,0,0
CASH_IN,CASH_IN · nominal sedang,6,270616,13392572,0.02,19,0,1,1,0,2,1.14,saldo awal pengirim sangat ekstrem,1,0
CASH_OUT,CASH_OUT · nominal besar,6,136548,0,0.0,13,2,1,0,0,1,0.67,saldo tujuan sangat ekstrem,0,0
CASH_OUT,PAYMENT · nominal kecil,12,342989,342989,1.0,13,4,0,0,0,0,2.39,saldo pengirim tidak konsisten secara logika,0,1
TRANSFER,CASH_OUT · nominal besar,1,2322201,0,0.0,20,2,1,1,0,2,2.24,nominal transaksi sangat ekstrem,1,0
TRANSFER,CASH_OUT · nominal besar,1,760096,49253,10.0,19,3,1,0,1,2,2.98,menguras hampir seluruh saldo,1,0
CASH_OUT,PAYMENT · nominal kecil,13,2470,51097,0.048,17,4,0,0,0,0,2.11,menguras hampir seluruh saldo,0,0
TRANSFER,CASH_OUT · nominal besar,15,1481963,148,10.0,11,3,1,0,1,2,2.54,menguras hampir seluruh saldo,1,0
CASH_IN,CASH_IN · nominal sedang,25,178164,10265600,0.017,16,0,1,1,0,2,0.58,saldo awal pengirim sangat ekstrem,1,0
CASH_OUT,CASH_OUT · nominal besar,9,184212,1169,10.0,14,3,1,0,0,1,1.62,menguras hampir seluruh saldo,0,0
CASH_OUT,PAYMENT · nominal kecil,30,131843,131843,1.0,2,4,0,0,0,0,3.74,saldo pengirim tidak konsisten secara logika,0,1
CASH_OUT,PAYMENT · nominal kecil,16,243119,243119,1.0,10,4,0,0,0,0,2.8,saldo pengirim tidak konsisten secara logika,0,1
CASH_OUT,CASH_OUT · nominal besar,15,174648,11508,10.0,10,3,1,1,0,2,1.86,saldo tujuan sangat ekstrem,1,0
CASH_OUT,CASH_OUT · nominal besar,8,20871,7042,2.964,13,3,0,0,0,0,1.94,saldo tujuan sangat ekstrem,0,0
TRANSFER,CASH_IN · nominal sedang,1,3964130,3964130,1.0,12,0,1,1,1,3,4.04,saldo tujuan tidak konsisten secara logika,1,1
CASH_OUT,CASH_OUT · nominal besar,7,256496,0,0.0,16,2,0,0,0,0,0.47,menguras hampir seluruh saldo,0,0
CASH_OUT,CASH_OUT · nominal besar,7,249558,0,0.0,19,2,0,0,0,0,0.95,menguras hampir seluruh saldo,0,0
CASH_OUT,CASH_OUT · nominal besar,17,339076,0,0.0,11,2,1,1,0,2,1.23,saldo tujuan sangat ekstrem,1,0
PAYMENT,PAYMENT · nominal kecil,2,22808,393859,0.058,9,4,0,0,0,0,1.68,menguras hampir seluruh saldo,0,0
CASH_OUT,PAYMENT · nominal kecil,9,486060,486060,1.0,5,4,1,0,0,1,3.49,nominal transaksi sangat ekstrem,0,1
CASH_OUT,CASH_OUT · nominal besar,17,164119,48623,3.375,11,3,1,1,0,2,1.97,saldo tujuan sangat ekstrem,1,0
PAYMENT,PAYMENT · nominal kecil,1,7117,254761,0.028,21,4,0,0,0,0,1.37,menguras hampir seluruh saldo,0,0
TRANSFER,CASH_OUT · nominal besar,2,441638,0,0.0,12,2,1,1,0,2,1.56,saldo tujuan sangat ekstrem,1,0
CASH_IN,CASH_IN · nominal sedang,25,79428,11872844,0.007,16,0,1,1,0,2,0.55,saldo awal pengirim sangat ekstrem,1,0
CASH_OUT,CASH_OUT · nominal besar,29,186105,0,0.0,15,2,0,0,0,0,0.38,menguras hampir seluruh saldo,0,0
TRANSFER,PAYMENT · nominal kecil,11,84197,84197,1.0,0,4,1,0,1,2,4.47,saldo pengirim tidak konsisten secara logika,1,1
CASH_IN,CASH_IN · nominal sedang,22,86640,4499708,0.019,10,0,1,1,0,2,1.49,saldo tujuan sangat ekstrem,1,0
TRANSFER,CASH_OUT · nominal besar,4,210358,21520,9.775,0,3,1,0,1,2,3.95,menguras hampir seluruh saldo,1,0
TRANSFER,CASH_OUT · nominal besar,10,2391319,0,0.0,17,2,1,1,0,2,2.01,nominal transaksi sangat ekstrem,1,0
CASH_OUT,CASH_OUT · nominal besar,17,208164,27119,7.676,10,3,0,0,0,0,1.52,menguras hampir seluruh saldo,0,0
CASH_OUT,PAYMENT · nominal kecil,6,3062506,3062506,1.0,8,4,1,1,0,2,3.87,nominal transaksi sangat ekstrem,1,1
CASH_OUT,PAYMENT · nominal kecil,7,237426,274769,0.864,11,4,0,0,0,0,2.66,menguras hampir seluruh saldo,0,0
TRANSFER,CASH_OUT · nominal besar,12,3713252,0,0.0,15,2,1,1,0,2,2.18,nominal transaksi sangat ekstrem,1,0
CASH_OUT,CASH_OUT · nominal besar,8,219209,0,0.0,10,2,1,1,0,2,1.35,saldo tujuan sangat ekstrem,1,0
CASH_IN,CASH_IN · nominal sedang,12,77317,4581988,0.017,17,0,1,1,0,2,0.81,saldo tujuan sangat ekstrem,1,0
TRANSFER,CASH_OUT · nominal besar,2,2630756,0,0.0,13,2,1,1,0,2,2.08,nominal transaksi sangat ekstrem,1,0
TRANSFER,PAYMENT · nominal kecil,1,19472,19472,1.0,12,4,1,0,0,1,2.37,saldo pengirim tidak konsisten secara logika,0,1
CASH_OUT,CASH_OUT · nominal besar,15,161609,0,0.0,17,2,0,0,0,0,0.53,saldo tujuan sangat ekstrem,0,0
CASH_OUT,CASH_OUT · nominal besar,11,251490,5002,10.0,15,3,1,0,0,1,1.18,menguras hampir seluruh saldo,0,0
CASH_IN,CASH_IN · nominal sedang,2,118211,10471042,0.011,18,0,1,1,0,2,0.82,saldo awal pengirim sangat ekstrem,1,0
TRANSFER,CASH_OUT · nominal besar,13,2618157,0,0.0,19,2,1,1,0,2,2.19,nominal transaksi sangat ekstrem,1,0
TRANSFER,PAYMENT · nominal kecil,10,35911,301885,0.119,21,4,0,0,0,0,2.53,menguras hampir seluruh saldo,0,0
CASH_OUT,CASH_OUT · nominal besar,7,252648,59937,4.215,23,3,0,0,0,0,2.25,menguras hampir seluruh saldo,0,0
TRANSFER,CASH_OUT · nominal besar,17,193452,0,0.0,19,2,0,0,0,0,1.4,menguras hampir seluruh saldo,0,0
