day,cluster,type,n
7,0,TRANSFER,202
7,1,CASH_IN,172
7,1,CASH_OUT,842
7,1,DEBIT,251
7,1,PAYMENT,62300
7,1,TRANSFER,133
7,2,CASH_IN,895
7,2,CASH_OUT,70081
7,2,DEBIT,129
7,2,TRANSFER,18258
7,3,CASH_IN,17524
7,3,CASH_OUT,62769
7,3,DEBIT,224
7,3,PAYMENT,6057
7,3,TRANSFER,14620
7,4,CASH_IN,520
7,4,CASH_OUT,16607
7,4,DEBIT,1929
7,4,PAYMENT,69893
7,4,TRANSFER,1508
8,0,CASH_IN,80479
8,0,CASH_OUT,882
8,0,DEBIT,5
8,0,TRANSFER,181
8,1,CASH_IN,191
8,1,CASH_OUT,922
8,1,DEBIT,365
8,1,PAYMENT,66243
8,1,TRANSFER,140
8,2,CASH_IN,882
8,2,CASH_OUT,73903
8,2,DEBIT,134
8,2,TRANSFER,19321
8,3,CASH_IN,17919
8,3,CASH_OUT,66076
8,3,DEBIT,231
8,3,PAYMENT,6483
8,3,TRANSFER,16437
8,4,CASH_IN,453
8,4,CASH_OUT,17585
8,4,DEBIT,2160
8,4,PAYMENT,77050
8,4,TRANSFER,1595
9,0,CASH_IN,73588
9,0,CASH_OUT,635
9,0,DEBIT,3
9,0,TRANSFER,166
9,1,CASH_IN,187
9,1,CASH_OUT,963
9,1,DEBIT,322
9,1,PAYMENT,61316
9,1,TRANSFER,174
9,2,CASH_IN,768
9,2,CASH_OUT,67452
9,2,DEBIT,118
9,2,TRANSFER,17961
9,3,CASH_IN,14389
9,3,CASH_OUT,60408
9,3,DEBIT,119
9,3,PAYMENT,4922
9,3,TRANSFER,13848
9,4,CASH_IN,429
9,4,CASH_OUT,18196
9,4,DEBIT,1566
9,4,PAYMENT,78543
9,4,TRANSFER,1846
10,0,CASH_IN,69166
10,0,CASH_OUT,476
10,0,DEBIT,2
10,0,TRANSFER,109
10,1,CASH_IN,142
10,1,CASH_OUT,805
10,1,DEBIT,295
10,1,PAYMENT,62340
10,1,TRANSFER,91
10,2,CASH_IN,781
10,2,CASH_OUT,64384
10,2,DEBIT,144
10,2,TRANSFER,17550
10,3,CASH_IN,15377
10,3,CASH_OUT,58059
10,3,DEBIT,164
10,3,PAYMENT,7299
10,3,TRANSFER,13754
10,4,CASH_IN,341
10,4,CASH_OUT,15389
10,4,DEBIT,1808
10,4,PAYMENT,63256
10,4,TRANSFER,1213
11,0,CASH_IN,74506
11,0,CASH_OUT,447
11,0,DEBIT,4
11,0,TRANSFER,116
11,1,CASH_IN,167
11,1,CASH_OUT,947
11,1,DEBIT,277
11,1,PAYMENT,62940
11,1,TRANSFER,146
11,2,CASH_IN,801
11,2,CASH_OUT,68134
11,2,DEBIT,144
11,2,TRANSFER,18170
11,3,CASH_IN,15272
11,3,CASH_OUT,61476
11,3,DEBIT,229
11,3,PAYMENT,6822
11,3,TRANSFER,14194
11,4,CASH_IN,363
11,4,CASH_OUT,17017
11,4,DEBIT,1395
11,4,PAYMENT,72830
11,4,TRANSFER,1462
12,0,CASH_IN,62977
12,0,CASH_OUT,297
12,0,TRANSFER,121
12,1,CASH_IN,141
12,1,CASH_OUT,810
12,1,DEBIT,257
12,1,PAYMENT,53440
12,1,TRANSFER,136
12,2,CASH_IN,672
12,2,CASH_OUT,54786
12,2,DEBIT,119
12,2,TRANSFER,15118
12,3,CASH_IN,10330
12,3,CASH_OUT,48940
12,3,DEBIT,184
12,3,PAYMENT,4913
12,3,TRANSFER,10625
12,4,CASH_IN,334
12,4,CASH_OUT,16671
12,4,DEBIT,1634
12,4,PAYMENT,65435
12,4,TRANSFER,1836
13,0,CASH_IN,77099
13,0,CASH_OUT,418
13,0,DEBIT,2
13,0,TRANSFER,107
13,1,CASH_IN,152
13,1,CASH_OUT,941
13,1,DEBIT,349
13,1,PAYMENT,69213
13,1,TRANSFER,105
13,2,CASH_IN,811
13,2,CASH_OUT,69800
13,2,DEBIT,154
13,2,TRANSFER,20566
13,3,CASH_IN,17416
13,3,CASH_OUT,64004
13,3,DEBIT,232
13,3,PAYMENT,8850
13,3,TRANSFER,14946
13,4,CASH_IN,362
13,4,CASH_OUT,16721
13,4,DEBIT,1889
13,4,PAYMENT,63397
13,4,TRANSFER,1049
14,0,CASH_IN,70780
14,0,CASH_OUT,363
14,0,DEBIT,5
14,0,TRANSFER,82
14,1,CASH_IN,121
14,1,CASH_OUT,783
14,1,DEBIT,317
14,1,PAYMENT,65035
14,1,TRANSFER,87
14,2,CASH_IN,739
14,2,CASH_OUT,64747
14,2,DEBIT,170
14,2,TRANSFER,18417
14,3,CASH_IN,15376
14,3,CASH_OUT,57651
14,3,DEBIT,265
14,3,PAYMENT,7971
14,3,TRANSFER,14336
14,4,CASH_IN,282
14,4,CASH_OUT,15082
14,4,DEBIT,2124
14,4,PAYMENT,62167
14,4,TRANSFER,976
15,0,CASH_IN,72974
15,0,CASH_OUT,343
15,0,DEBIT,3
15,0,TRANSFER,94
15,1,CASH_IN,157
15,1,CASH_OUT,820
15,1,DEBIT,338
15,1,PAYMENT,63645
15,1,TRANSFER,105
15,2,CASH_IN,744
15,2,CASH_OUT,64774
15,2,DEBIT,168
15,2,TRANSFER,17657
15,3,CASH_IN,15428
15,3,CASH_OUT,58324
15,3,DEBIT,287
15,3,PAYMENT,7320
15,3,TRANSFER,14792
15,4,CASH_IN,333
15,4,CASH_OUT,15914
15,4,DEBIT,2475
15,4,PAYMENT,63459
15,4,TRANSFER,1128
16,0,CASH_IN,67400
16,0,CASH_OUT,238
16,0,DEBIT,1
16,0,TRANSFER,83
16,1,CASH_IN,160
16,1,CASH_OUT,759
16,1,DEBIT,281
16,1,PAYMENT,58498
16,1,TRANSFER,134
16,2,CASH_IN,687
16,2,CASH_OUT,61008
16,2,DEBIT,144
16,2,TRANSFER,16438
16,3,CASH_IN,14076
16,3,CASH_OUT,54725
16,3,DEBIT,191
16,3,PAYMENT,6128
16,3,TRANSFER,13585
16,4,CASH_IN,268
16,4,CASH_OUT,14858
16,4,DEBIT,1797
16,4,PAYMENT,62819
16,4,TRANSFER,1316
17,0,CASH_IN,75734
17,0,CASH_OUT,296
17,0,DEBIT,1
17,0,TRANSFER,121
17,1,CASH_IN,143
17,1,CASH_OUT,976
17,1,DEBIT,375
17,1,PAYMENT,68899
17,1,TRANSFER,138
17,2,CASH_IN,846
17,2,CASH_OUT,70206
17,2,DEBIT,83
17,2,TRANSFER,18656
17,3,CASH_IN,16454
17,3,CASH_OUT,63180
17,3,DEBIT,247
17,3,PAYMENT,8411
17,3,TRANSFER,15343
17,4,CASH_IN,317
17,4,CASH_OUT,17504
17,4,DEBIT,2172
17,4,PAYMENT,64304
17,4,TRANSFER,1360
18,0,CASH_IN,4329
18,0,CASH_OUT,1
18,0,TRANSFER,66
18,1,CASH_IN,4
18,1,CASH_OUT,45
18,1,DEBIT,7
18,1,PAYMENT,3110
18,1,TRANSFER,6
18,2,CASH_IN,36
18,2,CASH_OUT,2178
18,2,TRANSFER,949
18,3,CASH_IN,685
18,3,CASH_OUT,3022
18,3,DEBIT,15
18,3,PAYMENT,328
18,3,TRANSFER,692
18,4,CASH_IN,11
18,4,CASH_OUT,955
18,4,DEBIT,164
18,4,PAYMENT,4242
18,4,TRANSFER,154
19,0,CASH_IN,2392
19,0,TRANSFER,61
19,1,CASH_IN,3
19,1,CASH_OUT,13
19,1,DEBIT,2
19,1,PAYMENT,1613
19,1,TRANSFER,2
19,2,CASH_IN,16
19,2,CASH_OUT,1096
19,2,TRANSFER,497
19,3,CASH_IN,283
19,3,CASH_OUT,1525
19,3,DEBIT,6
19,3,PAYMENT,183
19,3,TRANSFER,316
19,4,CASH_IN,15
19,4,CASH_OUT,596
19,4,DEBIT,58
19,4,PAYMENT,2506
19,4,TRANSFER,117
20,0,CASH_IN,3547
20,0,CASH_OUT,3
20,0,TRANSFER,54
20,1,CASH_IN,5
20,1,CASH_OUT,34
20,1,DEBIT,8
20,1,PAYMENT,3150
20,1,TRANSFER,10
20,2,CASH_IN,40
20,2,CASH_OUT,2241
20,2,TRANSFER,1047
20,3,CASH_IN,765
20,3,CASH_OUT,2989
20,3,DEBIT,11
20,3,PAYMENT,298
20,3,TRANSFER,710
20,4,CASH_IN,9
20,4,CASH_OUT,924
20,4,DEBIT,119
20,4,PAYMENT,3633
20,4,TRANSFER,130
21,0,CASH_IN,4643
21,0,CASH_OUT,1
21,0,TRANSFER,70
21,1,CASH_IN,2
21,1,CASH_OUT,38
21,1,DEBIT,2
21,1,PAYMENT,3864
21,1,TRANSFER,8
21,2,CASH_IN,39
21,2,CASH_OUT,2837
21,2,TRANSFER,1345
21,3,CASH_IN,934
21,3,CASH_OUT,3618
21,3,DEBIT,20
21,3,PAYMENT,526
21,3,TRANSFER,964
21,4,CASH_IN,16
21,4,CASH_OUT,1073
21,4,DEBIT,90
21,4,PAYMENT,4349
21,4,TRANSFER,154
22,0,CASH_IN,10028
22,0,CASH_OUT,7
22,0,TRANSFER,58
22,1,CASH_IN,28
22,1,CASH_OUT,101
22,1,DEBIT,19
22,1,PAYMENT,8551
22,1,TRANSFER,17
22,2,CASH_IN,91
22,2,CASH_OUT,6993
22,2,DEBIT,5
22,2,TRANSFER,2596
22,3,CASH_IN,1820
22,3,CASH_OUT,7501
22,3,DEBIT,27
22,3,PAYMENT,1051
22,3,TRANSFER,1885
22,4,CASH_IN,38
22,4,CASH_OUT,2130
22,4,DEBIT,471
22,4,PAYMENT,9779
22,4,TRANSFER,241
23,0,CASH_IN,9602
23,0,CASH_OUT,5
23,0,TRANSFER,47
23,1,CASH_IN,19
23,1,CASH_OUT,90
23,1,DEBIT,22
23,1,PAYMENT,8098
23,1,TRANSFER,21
23,2,CASH_IN,88
23,2,CASH_OUT,6170
23,2,DEBIT,8
23,2,TRANSFER,2418
23,3,CASH_IN,1800
23,3,CASH_OUT,7642
23,3,DEBIT,34
23,3,PAYMENT,875
23,3,TRANSFER,1924
23,4,CASH_IN,43
23,4,CASH_OUT,2225
23,4,DEBIT,345
23,4,PAYMENT,9288
23,4,TRANSFER,248
24,0,CASH_IN,6036
24,0,TRANSFER,63
24,1,CASH_IN,11
24,1,CASH_OUT,65
24,1,DEBIT,3
24,1,PAYMENT,4912
24,1,TRANSFER,14
24,2,CASH_IN,64
24,2,CASH_OUT,3964
24,2,TRANSFER,1590
24,3,CASH_IN,1286
24,3,CASH_OUT,5151
24,3,DEBIT,23
24,3,PAYMENT,494
24,3,TRANSFER,1205
24,4,CASH_IN,20
24,4,CASH_OUT,1496
24,4,DEBIT,170
24,4,PAYMENT,5916
24,4,TRANSFER,226
25,0,CASH_IN,10652
25,0,CASH_OUT,10
25,0,TRANSFER,63
25,1,CASH_IN,22
25,1,CASH_OUT,117
25,1,DEBIT,31
25,1,PAYMENT,8813
25,1,TRANSFER,32
25,2,CASH_IN,108
25,2,CASH_OUT,6574
25,2,DEBIT,6
25,2,TRANSFER,2995
25,3,CASH_IN,2268
25,3,CASH_OUT,9464
25,3,DEBIT,26
25,3,PAYMENT,819
25,3,TRANSFER,1973
25,4,CASH_IN,38
25,4,CASH_OUT,2889
25,4,DEBIT,428
25,4,PAYMENT,10239
25,4,TRANSFER,286
26,0,CASH_IN,2813
26,0,CASH_OUT,1
26,0,TRANSFER,59
26,1,CASH_IN,3
26,1,CASH_OUT,26
26,1,DEBIT,4
26,1,PAYMENT,2165
26,1,TRANSFER,3
26,2,CASH_IN,25
26,2,CASH_OUT,1258
26,2,TRANSFER,611
26,3,CASH_IN,438
26,3,CASH_OUT,2066
26,3,DEBIT,10
26,3,PAYMENT,169
26,3,TRANSFER,399
26,4,CASH_IN,10
26,4,CASH_OUT,863
26,4,DEBIT,96
26,4,PAYMENT,2694
26,4,TRANSFER,172
27,0,CASH_IN,1682
27,0,TRANSFER,57
27,1,CASH_IN,3
27,1,CASH_OUT,21
27,1,PAYMENT,1115
27,1,TRANSFER,6
27,2,CASH_IN,20
27,2,CASH_OUT,935
27,2,TRANSFER,406
27,3,CASH_IN,380
27,3,CASH_OUT,1399
27,3,DEBIT,5
27,3,PAYMENT,136
27,3,TRANSFER,297
27,4,CASH_IN,8
27,4,CASH_OUT,479
27,4,DEBIT,25
27,4,PAYMENT,1482
27,4,TRANSFER,122
28,0,CASH_IN,2963
28,0,TRANSFER,55
28,1,CASH_IN,6
28,1,CASH_OUT,22
28,1,DEBIT,3
28,1,PAYMENT,2142
28,1,TRANSFER,5
28,2,CASH_IN,26
28,2,CASH_OUT,1492
28,2,TRANSFER,732
28,3,CASH_IN,569
28,3,CASH_OUT,2102
28,3,DEBIT,6
28,3,PAYMENT,186
28,3,TRANSFER,589
28,4,CASH_IN,12
28,4,CASH_OUT,613
28,4,DEBIT,87
28,4,PAYMENT,2937
28,4,TRANSFER,114
29,0,CASH_IN,10270
29,0,CASH_OUT,4
29,0,TRANSFER,66
29,1,CASH_IN,20
29,1,CASH_OUT,105
29,1,DEBIT,38
29,1,PAYMENT,8112
29,1,TRANSFER,24
29,2,CASH_IN,89
29,2,CASH_OUT,6613
29,2,DEBIT,18
29,2,TRANSFER,2867
29,3,CASH_IN,2269
29,3,CASH_OUT,8771
29,3,DEBIT,47
29,3,PAYMENT,865
29,3,TRANSFER,2100
29,4,CASH_IN,34
29,4,CASH_OUT,2472
29,4,DEBIT,359
29,4,PAYMENT,9456
29,4,TRANSFER,291
30,0,CASH_IN,1633
30,0,TRANSFER,60
30,1,CASH_IN,8
30,1,CASH_OUT,16
30,1,DEBIT,1
30,1,PAYMENT,910
30,1,TRANSFER,3
30,2,CASH_IN,6
30,2,CASH_OUT,386
30,2,TRANSFER,175
30,3,CASH_IN,765
30,3,CASH_OUT,2900
30,3,DEBIT,12
30,3,PAYMENT,349
30,3,TRANSFER,631
30,4,CASH_IN,7
30,4,CASH_OUT,745
30,4,DEBIT,112
30,4,PAYMENT,2423
30,4,TRANSFER,145
31,0,TRANSFER,56
31,1,CASH_OUT,3
31,3,CASH_OUT,21
31,4,CASH_OUT,112
31,4,TRANSFER,80
