rule_#,day,n_ac,n_a,n_c,n_total
3,29,1137,1137,12289,54890
3,30,354,354,3388,11287
3,31,0,0,269,272
4,1,25408,26448,201739,574255
4,2,24023,24815,155605,455238
4,3,0,0,522,1070
4,4,6004,6170,14588,28240
4,5,2038,2110,5544,9789
4,6,20960,22249,135993,441005
4,7,21957,23219,141783,420583
4,8,26365,26659,156170,449637
4,9,21381,22386,155162,417919
4,10,22495,23494,125985,392945
4,11,24282,24466,145108,417859
4,12,19308,20832,129654,349776
4,13,18915,21840,122310,428583
4,14,19802,22266,119238,397876
4,15,20139,21692,127650,401282
4,16,20793,22032,123401,375594
4,17,20061,21905,127771,425766
4,18,1603,1659,7597,20999
4,19,1000,1058,4377,11300
4,20,1490,1565,7149,19727
4,21,1787,1877,8345,24593
4,22,2911,3498,18240,53437
4,23,3316,3421,18088,51012
4,24,2251,2306,11835,32709
4,25,4272,4386,21039,57853
4,26,754,789,5249,13885
4,27,467,504,2737,8578
4,28,794,804,5566,14661
4,29,3180,3522,18692,54890
4,30,1037,1071,3726,11287
4,31,0,0,11,272
5,1,25408,26448,201739,574255
5,2,24023,24815,155605,455238
5,3,0,0,522,1070
5,4,6004,6170,14588,28240
5,5,2038,2110,5544,9789
5,6,20960,22249,135993,441005
5,7,21957,23219,141783,420583
5,8,26365,26659,156170,449637
5,9,21381,22386,155162,417919
5,10,22495,23494,125985,392945
5,11,24282,24466,145108,417859
5,12,19308,20832,129654,349776
5,13,18915,21840,122310,428583
5,14,19802,22266,119238,397876
5,15,20139,21692,127650,401282
5,16,20793,22032,123401,375594
5,17,20061,21905,127771,425766
5,18,1603,1659,7597,20999
5,19,1000,1058,4377,11300
5,20,1490,1565,7149,19727
5,21,1787,1877,8345,24593
5,22,2911,3498,18240,53437
5,23,3316,3421,18088,51012
5,24,2251,2306,11835,32709
5,25,4272,4386,21039,57853
5,26,754,789,5249,13885
5,27,467,504,2737,8578
5,28,794,804,5566,14661
5,29,3180,3522,18692,54890
5,30,1037,1071,3726,11287
5,31,0,0,11,272
6,1,14437,15776,195285,574255
6,2,10986,12188,156693,455238
6,3,64,90,346,1070
6,4,43,65,6813,28240
6,5,40,60,2244,9789
6,6,10219,11351,156778,441005
6,7,9826,10897,144677,420583
6,8,10885,12113,150455,449637
6,9,9057,10987,128545,417919
6,10,9209,10031,133198,392945
6,11,9822,10936,132581,417859
6,12,6322,7970,98047,349776
6,13,10454,11097,152247,428583
6,14,10254,10820,138275,397876
6,15,10350,11084,135412,401282
6,16,9171,10009,125143,375594
6,17,10509,11417,143795,425766
6,18,466,544,6498,20999
6,19,188,252,3144,11300
6,20,473,531,6493,19727
6,21,709,777,8056,24593
6,22,1306,1414,16593,53437
6,23,1343,1481,16322,51012
6,24,767,901,10908,32709
6,25,1189,1318,18302,57853
6,26,233,349,3968,13885
6,27,218,291,3060,8578
6,28,436,521,4931,14661
6,29,1423,1620,18096,54890
6,30,421,498,3779,11287
6,31,45,64,189,272
7,1,14561,15943,195285,574255
7,2,11050,12282,156693,455238
7,3,64,90,346,1070
7,4,44,66,6813,28240
7,5,40,60,2244,9789
7,6,10258,11411,156778,441005
7,7,9883,10978,144677,420583
7,8,10934,12200,150455,449637
7,9,9114,11104,128545,417919
7,10,9246,10093,133198,392945
7,11,9867,11012,132581,417859
7,12,6366,8066,98047,349776
7,13,10485,11150,152247,428583
7,14,10289,10871,138275,397876
7,15,10382,11133,135412,401282
7,16,9204,10063,125143,375594
7,17,10551,11484,143795,425766
7,18,468,549,6498,20999
7,19,188,253,3144,11300
7,20,475,534,6493,19727
7,21,711,779,8056,24593
7,22,1308,1420,16593,53437
7,23,1353,1493,16322,51012
7,24,778,914,10908,32709
7,25,1198,1331,18302,57853
7,26,237,360,3968,13885
7,27,221,296,3060,8578
7,28,439,524,4931,14661
7,29,1429,1636,18096,54890
7,30,423,500,3779,11287
7,31,45,64,189,272
8,1,95885,104897,194676,574255
8,2,70260,76554,150147,455238
8,3,316,360,480,1070
8,4,8454,8954,14286,28240
8,5,3288,3497,5470,9789
8,6,55424,61620,142460,441005
8,7,61605,67633,138250,420583
8,8,68903,75417,149776,449637
8,9,73794,80367,144781,417919
8,10,52609,58232,132895,392945
8,11,64351,70123,142592,417859
8,12,60591,67006,123788,349776
8,13,48684,54680,141460,428583
8,14,48587,54359,135173,397876
8,15,52257,58695,134424,401282
8,16,53763,59221,127445,375594
8,17,50676,57276,141614,425766
8,18,3783,4178,7680,20999
8,19,2265,2493,4302,11300
8,20,3240,3584,7081,19727
8,21,3708,4077,8739,24593
8,22,8174,9183,19381,53437
8,23,8133,9008,18261,51012
8,24,5397,5962,11322,32709
8,25,9350,10539,19871,57853
8,26,2460,2791,5028,13885
8,27,1272,1430,2733,8578
8,28,2752,2994,5265,14661
8,29,8283,9269,18433,54890
8,30,2075,2408,3682,11287
8,31,0,11,0,272
9,1,67070,73036,194676,574255
9,2,43397,47296,150147,455238
9,3,0,10,480,1070
9,4,0,8,14286,28240
9,5,0,6,5470,9789
9,6,32826,36691,142460,441005
9,7,37671,41510,138250,420583
9,8,40162,44383,149776,449637
9,9,50451,54832,144781,417919
9,10,27516,30885,132895,392945
9,11,37457,41186,142592,417859
9,12,39868,44110,123788,349776
9,13,28007,31807,141460,428583
9,14,27473,31218,135173,397876
9,15,30629,34877,134424,401282
9,16,31330,34711,127445,375594
9,17,27244,31450,141614,425766
9,18,1935,2167,7680,20999
9,19,1187,1294,4302,11300
9,20,1567,1741,7081,19727
9,21,1834,2046,8739,24593
9,22,4516,5109,19381,53437
9,23,3882,4392,18261,51012
9,24,2766,3122,11322,32709
9,25,4553,5271,19871,57853
9,26,1395,1592,5028,13885
9,27,766,865,2733,8578
9,28,1832,1973,5265,14661
9,29,4939,5508,18433,54890
9,30,1022,1203,3682,11287
9,31,0,4,0,272
10,1,9027,10361,204397,574255
10,2,8617,9971,164605,455238
10,3,5,10,240,1070
10,4,1011,1321,6252,28240
10,5,151,223,1769,9789
10,6,8195,10046,159596,441005
10,7,8472,10011,151338,420583
10,8,8787,9638,159368,449637
10,9,8069,9268,147654,417919
10,10,8391,9639,139113,392945
10,11,8515,9219,148021,417859
10,12,8137,10204,121504,349776
10,13,8344,11364,151884,428583
10,14,7148,9677,138626,397876
10,15,7991,9895,140175,401282
10,16,8186,9731,131588,375594
10,17,8611,10703,152162,425766
10,18,524,622,6201,20999
10,19,419,511,3230,11300
10,20,459,574,6191,19727
10,21,588,739,7567,24593
10,22,887,1853,16732,53437
10,23,1102,1295,16132,51012
10,24,765,897,10676,32709
10,25,1607,1867,19054,57853
10,26,436,476,4214,13885
10,27,156,197,2834,8578
10,28,244,289,4229,14661
10,29,1372,1817,17965,54890
10,30,525,631,4047,11287
10,31,7,14,136,272
11,1,31020,39265,204397,574255
11,2,27371,34114,164605,455238
11,3,47,87,240,1070
11,4,1154,1587,6252,28240
11,5,239,381,1769,9789
11,6,26176,36665,159596,441005
11,7,25118,31708,151338,420583
11,8,27181,34689,159368,449637
11,9,28980,33373,147654,417919
11,10,23404,33682,139113,392945
11,11,26863,35811,148021,417859
11,12,27539,32691,121504,349776
11,13,25809,39316,151884,428583
11,14,23158,34793,138626,397876
11,15,24546,34732,140175,401282
11,16,23255,30848,131588,375594
11,17,27108,39943,152162,425766
11,18,1416,1913,6201,20999
11,19,856,1101,3230,11300
11,20,1303,1728,6191,19727
11,21,1571,2338,7567,24593
11,22,3383,5035,16732,53437
11,23,3592,4710,16132,51012
11,24,2185,2754,10676,32709
11,25,4509,5492,19054,57853
11,26,1215,1518,4214,13885
11,27,610,871,2834,8578
11,28,900,1109,4229,14661
11,29,3906,5008,17965,54890
11,30,1329,1809,4047,11287
11,31,36,72,136,272
12,1,8533,15464,177231,574255
12,2,6725,11208,142940,455238
12,3,3,3,202,1070
12,4,241,380,6839,28240
12,5,53,89,2001,9789
12,6,6464,10827,148234,441005
12,7,6137,10163,134123,420583
12,8,6590,10714,143012,449637
12,9,7012,10847,134212,417919
12,10,5574,9240,133762,392945
12,11,6339,10179,140170,417859
12,12,6658,9842,122075,349776
12,13,6065,10177,154026,428583
12,14,5628,9104,140363,397876
12,15,5825,9643,138220,401282
12,16,5730,9097,127050,375594
12,17,6546,10577,154200,425766
12,18,324,503,6904,20999
12,19,186,288,3779,11300
12,20,310,481,6085,19727
12,21,371,588,8192,24593
12,22,755,1229,18604,53437
12,23,868,1329,16602,51012
12,24,512,860,9966,32709
12,25,1033,1623,18512,57853
12,26,282,426,4668,13885
12,27,135,208,2781,8578
12,28,187,296,4164,14661
12,29,866,1412,18102,54890
12,30,223,379,3782,11287
12,31,0,0,72,272
