pc1,pc2,cluster,type,day
0.233,-1.705,2,CASH_OUT,7
-0.04,0.561,4,CASH_OUT,13
1.934,0.657,3,CASH_OUT,1
0.137,1.713,0,CASH_OUT,1
1.033,-1.895,2,CASH_OUT,11
0.962,1.764,0,CASH_IN,8
0.5,-1.756,2,CASH_OUT,9
1.119,-1.916,2,CASH_OUT,13
0.573,1.658,0,CASH_IN,9
0.987,-1.873,2,CASH_OUT,14
1.056,1.712,0,CASH_IN,6
1.853,1.924,0,CASH_IN,4
0.842,-0.219,3,CASH_OUT,16
-2.521,1.153,4,PAYMENT,11
0.66,-1.153,3,CASH_OUT,2
0.375,-1.736,2,CASH_OUT,7
0.631,-1.664,2,TRANSFER,10
-1.544,0.214,1,PAYMENT,28
1.29,1.415,0,CASH_IN,16
-0.968,0.249,1,PAYMENT,13
0.716,0.102,3,CASH_OUT,8
1.072,-1.885,2,CASH_OUT,14
1.224,-1.938,2,CASH_OUT,2
1.05,-1.803,2,TRANSFER,11
-3.125,-0.714,1,PAYMENT,8
0.005,-1.504,2,TRANSFER,14
-1.468,-1.161,1,PAYMENT,6
0.124,1.875,0,CASH_IN,11
1.373,-1.853,2,TRANSFER,2
1.254,-1.118,3,TRANSFER,2
1.741,1.714,0,CASH_IN,15
0.213,0.075,3,CASH_OUT,27
1.565,1.788,0,CASH_IN,16
2.383,1.398,3,CASH_IN,15
1.693,0.097,3,TRANSFER,10
-0.667,0.56,4,CASH_OUT,13
-0.413,0.279,1,PAYMENT,10
1.129,-0.108,3,CASH_OUT,2
-1.448,-1.169,1,PAYMENT,13
-1.456,-1.171,1,PAYMENT,15
-1.897,1.149,4,PAYMENT,14
-1.791,0.591,4,DEBIT,14
0.383,-1.718,2,CASH_OUT,10
1.316,1.707,0,CASH_IN,10
2.462,1.049,3,CASH_IN,13
-1.16,0.767,4,CASH_OUT,17
-1.595,-1.135,1,PAYMENT,25
1.859,-0.193,3,CASH_OUT,11
1.173,-0.094,3,CASH_OUT,8
-1.702,-1.087,1,PAYMENT,15
1.424,1.917,0,CASH_IN,15
1.945,1.946,0,CASH_IN,13
1.8,1.075,3,CASH_IN,8
-1.357,-1.214,1,PAYMENT,9
1.229,-1.936,2,CASH_OUT,8
-1.396,-1.197,1,PAYMENT,7
1.335,2.043,0,CASH_IN,8
-1.429,-1.196,1,PAYMENT,11
1.103,1.666,0,CASH_IN,8
-2.386,-0.938,1,PAYMENT,16
-3.118,0.781,4,PAYMENT,16
2.258,1.609,0,CASH_IN,4
-1.4,-1.192,1,PAYMENT,6
0.197,-1.694,2,CASH_OUT,14
2.136,1.387,0,CASH_IN,1
0.591,-0.429,3,CASH_OUT,6
0.91,-1.87,2,CASH_OUT,6
0.858,-1.843,2,CASH_OUT,8
-1.679,0.235,1,PAYMENT,2
2.863,0.765,3,TRANSFER,1
1.04,-1.912,2,CASH_OUT,17
-2.734,1.001,4,PAYMENT,9
0.547,-3.075,2,CASH_OUT,17
-1.206,-1.238,1,PAYMENT,7
2.637,0.823,3,CASH_IN,9
-2.868,1.269,4,CASH_OUT,1
2.359,0.013,3,TRANSFER,13
0.246,-1.681,2,CASH_OUT,14
-1.241,0.28,1,PAYMENT,11
-2.282,0.744,4,PAYMENT,13
1.632,-0.106,3,CASH_OUT,2
1.484,1.76,0,CASH_IN,13
-1.0,0.276,1,PAYMENT,7
1.293,-1.97,2,CASH_OUT,1
1.133,-0.855,3,CASH_OUT,9
0.68,-1.805,2,CASH_OUT,15
1.523,1.832,0,CASH_IN,7
1.133,-1.8,2,TRANSFER,9
-2.463,1.122,4,PAYMENT,1
2.499,1.293,3,CASH_IN,11
1.338,1.873,0,CASH_IN,17
1.556,1.646,0,CASH_IN,14
1.081,-1.792,2,TRANSFER,12
-1.212,0.875,4,TRANSFER,22
2.328,0.039,3,TRANSFER,2
1.167,-1.913,2,CASH_OUT,11
-2.332,0.818,4,PAYMENT,7
2.513,1.279,3,CASH_IN,15
2.06,1.657,0,CASH_IN,2
-2.614,0.928,4,PAYMENT,6
-1.165,-1.234,1,PAYMENT,10
-3.535,1.061,4,PAYMENT,11
0.451,-1.736,2,CASH_OUT,6
0.77,-1.822,2,CASH_OUT,1
0.336,-1.591,2,TRANSFER,9
1.441,0.929,3,CASH_IN,6
2.072,1.621,0,CASH_IN,7
0.786,-1.842,2,CASH_OUT,12
-0.486,0.488,4,CASH_OUT,29
0.349,0.127,3,CASH_OUT,2
-2.268,1.128,4,PAYMENT,17
-2.043,0.859,4,PAYMENT,13
-3.402,1.126,4,PAYMENT,2
0.369,-1.777,2,CASH_OUT,9
0.277,0.091,3,CASH_OUT,2
1.129,-1.903,2,CASH_OUT,8
-1.291,0.382,1,PAYMENT,10
-0.265,0.243,3,PAYMENT,15
1.799,1.972,0,CASH_IN,2
-2.522,0.726,4,PAYMENT,7
1.663,2.109,0,CASH_IN,6
-2.563,0.804,4,PAYMENT,10
1.935,1.981,0,CASH_IN,8
-2.211,-0.989,1,PAYMENT,7
1.552,1.287,0,CASH_IN,8
-2.576,0.793,4,PAYMENT,10
-1.307,-1.227,1,PAYMENT,8
0.561,-1.776,2,CASH_OUT,2
0.581,-1.758,2,CASH_OUT,21
0.065,-1.631,2,CASH_OUT,6
-0.371,1.471,4,CASH_OUT,6
-1.104,-1.246,1,PAYMENT,14
-0.986,-1.309,1,PAYMENT,17
2.086,-0.223,3,CASH_OUT,17
1.715,-0.107,3,CASH_OUT,7
1.526,-0.137,3,CASH_OUT,6
0.699,-1.799,2,CASH_OUT,6
0.71,-1.82,2,CASH_OUT,15
-1.156,0.385,1,PAYMENT,25
0.442,-1.74,2,CASH_OUT,13
2.644,1.361,3,CASH_IN,10
-1.674,-1.101,1,PAYMENT,11
0.924,-1.847,2,CASH_OUT,13
1.713,2.041,0,CASH_IN,2
1.763,1.695,0,CASH_IN,9
0.986,-0.678,3,CASH_OUT,25
-0.782,0.229,3,PAYMENT,16
1.258,1.741,0,CASH_IN,7
-0.682,0.555,4,CASH_OUT,6
-1.384,-1.182,1,PAYMENT,15
-0.448,0.684,4,CASH_OUT,2
-2.596,1.005,4,PAYMENT,8
0.776,-1.816,2,CASH_OUT,22
1.505,-0.142,3,CASH_OUT,6
0.057,0.106,3,CASH_OUT,2
-1.652,-1.114,1,PAYMENT,7
2.886,0.044,3,TRANSFER,29
-0.956,0.41,1,PAYMENT,10
-1.049,0.486,4,PAYMENT,15
1.874,1.68,0,CASH_IN,21
-1.601,-1.113,1,PAYMENT,13
0.641,1.75,0,CASH_IN,1
-0.893,0.8,4,CASH_OUT,10
0.171,-0.068,3,CASH_OUT,9
2.614,1.266,3,CASH_IN,11
0.789,-0.105,3,CASH_OUT,16
1.77,-0.828,2,CASH_OUT,8
-0.154,0.5,4,CASH_OUT,9
1.588,1.83,0,CASH_IN,12
-0.139,0.613,4,CASH_OUT,15
1.492,-0.133,3,CASH_OUT,17
0.803,2.023,0,CASH_IN,9
0.787,-1.806,2,CASH_OUT,10
1.471,1.41,0,CASH_IN,13
-1.471,-1.156,1,PAYMENT,1
1.118,-0.034,3,TRANSFER,15
1.703,1.945,0,CASH_IN,9
1.607,2.069,0,CASH_IN,16
0.643,-0.011,3,CASH_OUT,9
2.382,1.428,0,CASH_IN,15
-2.944,-0.771,1,PAYMENT,29
2.366,1.709,0,CASH_IN,1
0.199,1.728,0,CASH_IN,14
1.209,-0.054,3,CASH_OUT,8
0.737,-1.804,2,CASH_OUT,7
-2.418,0.831,4,PAYMENT,10
0.077,-0.104,3,CASH_OUT,7
0.928,1.31,0,CASH_IN,6
0.344,-1.591,2,TRANSFER,2
-0.632,0.172,3,PAYMENT,12
-2.311,1.129,4,PAYMENT,8
-0.626,0.142,3,PAYMENT,7
1.044,-0.148,3,CASH_OUT,13
0.506,-1.056,3,CASH_OUT,6
-2.24,0.838,4,PAYMENT,11
1.541,-0.091,3,CASH_OUT,4
0.773,-1.822,2,CASH_OUT,16
0.898,0.913,3,CASH_IN,6
0.909,-1.852,2,CASH_OUT,10
-0.611,0.436,4,CASH_OUT,16
1.263,-1.95,2,CASH_OUT,25
-2.396,0.83,4,PAYMENT,15
-2.157,1.009,4,PAYMENT,22
2.061,-0.277,3,CASH_OUT,8
-0.43,0.24,3,PAYMENT,7
-2.78,-0.827,1,PAYMENT,12
0.62,1.512,0,CASH_IN,14
-1.96,-1.046,1,PAYMENT,11
1.88,-0.755,2,TRANSFER,1
1.766,1.964,0,CASH_IN,6
1.803,-0.222,3,CASH_OUT,15
-2.381,-0.935,1,PAYMENT,15
-3.112,1.05,4,PAYMENT,18
1.22,-0.006,3,TRANSFER,13
0.573,0.104,3,CASH_OUT,10
1.761,1.878,0,CASH_IN,16
1.634,-0.191,3,CASH_OUT,14
-2.1,1.021,4,PAYMENT,7
0.578,-0.362,3,CASH_OUT,17
2.621,0.871,3,CASH_IN,17
1.508,-0.122,3,CASH_OUT,16
0.117,2.039,0,CASH_IN,6
-1.353,0.013,1,PAYMENT,7
0.373,-0.053,3,CASH_OUT,9
-2.382,0.732,4,PAYMENT,12
-2.544,1.181,4,PAYMENT,7
0.897,-0.057,3,CASH_OUT,16
-1.403,-1.181,1,PAYMENT,13
-3.395,1.329,4,PAYMENT,1
1.536,1.474,3,CASH_IN,8
-2.291,0.888,4,PAYMENT,1
0.335,1.659,0,CASH_IN,8
0.557,1.058,3,CASH_OUT,1
-3.572,0.933,4,PAYMENT,7
1.206,-1.81,2,TRANSFER,12
-0.45,0.236,3,PAYMENT,16
1.833,-0.338,3,CASH_OUT,2
-1.539,-1.139,1,PAYMENT,7
1.074,-0.082,3,CASH_OUT,15
1.525,1.729,0,CASH_IN,11
1.861,1.939,0,CASH_IN,10
2.367,0.681,3,CASH_IN,17
-0.945,0.21,1,PAYMENT,7
1.118,1.607,0,CASH_IN,1
0.315,1.813,0,CASH_OUT,1
0.452,0.55,4,CASH_OUT,13
-2.666,-0.834,1,PAYMENT,7
-1.802,0.785,4,DEBIT,22
0.916,-0.207,3,CASH_OUT,13
0.919,-1.875,2,CASH_OUT,11
-2.853,0.851,4,PAYMENT,8
1.966,1.742,0,CASH_IN,16
-2.324,0.897,4,PAYMENT,13
0.828,-0.003,3,CASH_OUT,16
1.678,1.31,0,CASH_IN,14
1.41,-0.319,3,CASH_OUT,2
1.771,-0.239,3,CASH_OUT,8
-1.595,0.885,4,CASH_OUT,8
-2.814,1.109,4,PAYMENT,24
-1.142,-1.24,1,PAYMENT,7
2.442,1.248,3,CASH_IN,7
1.001,1.901,0,CASH_IN,14
-0.694,-0.077,3,PAYMENT,15
1.544,2.016,0,CASH_IN,25
0.46,-0.416,3,CASH_OUT,17
-1.652,-1.139,1,PAYMENT,11
1.095,2.025,0,CASH_IN,16
1.499,1.893,0,CASH_IN,13
1.895,1.678,0,CASH_IN,1
1.117,-0.076,3,CASH_OUT,14
-2.624,0.937,4,PAYMENT,12
-1.65,-1.125,1,PAYMENT,1
-2.395,0.868,4,PAYMENT,16
-1.766,-1.078,1,PAYMENT,8
1.667,0.271,3,TRANSFER,15
0.83,0.011,3,CASH_OUT,25
1.085,0.007,3,TRANSFER,13
0.304,1.829,0,CASH_OUT,7
0.738,-1.832,2,CASH_OUT,17
-2.663,-0.878,1,PAYMENT,7
0.843,-1.848,2,CASH_OUT,13
-2.38,0.865,4,PAYMENT,14
0.341,-1.706,2,CASH_OUT,8
1.581,1.614,0,CASH_IN,2
1.108,0.078,3,TRANSFER,12
-2.328,0.93,4,PAYMENT,8
-1.204,0.472,4,PAYMENT,15
-1.842,0.568,4,PAYMENT,6
1.458,-0.115,3,CASH_OUT,15
1.549,1.844,0,CASH_IN,9
-1.218,0.657,4,CASH_OUT,10
-1.521,-1.161,1,PAYMENT,17
1.04,-0.115,3,CASH_OUT,7
0.661,-0.586,2,CASH_OUT,1
-1.834,0.984,4,PAYMENT,17
-0.766,-0.024,3,PAYMENT,16
-1.148,-1.228,1,PAYMENT,6
0.11,-1.636,2,CASH_OUT,10
-2.687,-0.854,1,PAYMENT,15
-2.372,0.81,4,PAYMENT,2
0.902,-1.738,2,TRANSFER,8
2.042,1.364,0,CASH_IN,17
-2.771,0.97,4,PAYMENT,8
0.335,-1.703,2,CASH_OUT,25
1.089,-1.899,2,CASH_OUT,17
1.738,1.333,0,CASH_IN,19
-0.314,-0.017,4,CASH_OUT,12
0.054,0.105,3,CASH_OUT,17
0.482,-3.031,2,CASH_OUT,1
1.601,-0.131,3,CASH_OUT,1
0.279,-0.069,3,CASH_OUT,2
-2.693,1.036,4,PAYMENT,7
1.645,1.261,3,CASH_IN,13
0.664,-1.786,2,CASH_OUT,12
-0.272,-0.052,3,PAYMENT,11
2.177,1.824,0,CASH_IN,2
-2.434,0.807,4,PAYMENT,11
2.133,1.354,0,CASH_IN,8
0.393,0.117,3,CASH_OUT,13
1.072,0.016,3,CASH_OUT,8
1.497,1.304,0,CASH_IN,13
1.988,1.814,0,CASH_IN,6
0.224,1.273,0,CASH_IN,14
0.921,-1.185,3,CASH_OUT,1
-0.998,0.425,4,CASH_OUT,7
1.071,-1.164,3,CASH_OUT,13
0.379,0.19,3,CASH_OUT,6
0.758,1.767,0,CASH_IN,7
0.719,-1.824,2,CASH_OUT,10
0.789,0.025,3,CASH_OUT,1
0.039,1.564,0,CASH_IN,2
1.175,1.642,0,CASH_IN,2
2.085,1.844,0,CASH_IN,9
0.585,-1.777,2,CASH_OUT,17
2.307,1.762,0,CASH_IN,17
1.343,-0.196,3,CASH_OUT,11
-2.361,0.749,4,PAYMENT,11
0.857,-0.125,3,CASH_OUT,13
-2.84,1.09,4,PAYMENT,10
0.526,-1.736,2,CASH_OUT,1
-2.48,0.892,4,PAYMENT,17
0.726,1.453,0,CASH_IN,1
0.612,-1.774,2,CASH_OUT,14
0.094,-1.632,2,CASH_OUT,17
0.949,-1.838,2,CASH_OUT,16
-0.431,-0.031,3,PAYMENT,15
0.229,-0.1,3,CASH_OUT,2
1.07,-1.918,2,CASH_OUT,15
-2.81,1.048,4,PAYMENT,17
2.896,0.882,3,TRANSFER,1
-2.372,-0.934,1,PAYMENT,8
0.775,-1.791,2,CASH_OUT,17
0.8,-1.821,2,CASH_OUT,1
1.454,-0.554,3,CASH_OUT,1
1.901,1.905,0,CASH_IN,9
1.336,-1.984,2,CASH_OUT,13
-1.105,-1.239,1,PAYMENT,1
0.719,-1.125,3,CASH_OUT,7
0.781,-1.812,2,CASH_OUT,2
0.758,0.014,3,TRANSFER,2
1.396,-1.856,2,TRANSFER,17
0.509,-1.765,2,CASH_OUT,2
-2.179,1.105,4,PAYMENT,16
0.852,-1.845,2,CASH_OUT,6
0.298,-1.726,2,CASH_OUT,9
1.996,-2.041,2,TRANSFER,14
1.71,1.569,0,CASH_IN,9
1.865,1.828,0,CASH_IN,12
1.675,1.368,0,CASH_IN,1
0.634,-1.789,2,CASH_OUT,11
-2.449,1.114,4,PAYMENT,1
1.747,-0.007,3,TRANSFER,17
-1.804,-1.093,1,PAYMENT,13
2.161,1.788,0,TRANSFER,9
1.258,2.116,0,CASH_IN,16
1.069,-1.903,2,CASH_OUT,7
-2.46,0.972,4,PAYMENT,7
1.115,-1.813,2,TRANSFER,6
2.284,-0.084,3,TRANSFER,1
-1.551,0.742,4,CASH_OUT,13
0.688,-1.807,2,CASH_OUT,12
-1.254,0.292,1,PAYMENT,9
0.46,0.051,3,CASH_OUT,9
1.858,1.293,3,CASH_IN,6
1.896,2.019,0,CASH_IN,12
0.99,-0.01,3,CASH_OUT,16
1.29,-1.936,2,CASH_OUT,12
-2.709,1.051,4,PAYMENT,6
-2.327,0.997,4,PAYMENT,2
-1.679,-1.093,1,PAYMENT,23
-1.974,-1.014,1,PAYMENT,11
-2.333,1.139,4,PAYMENT,16
-1.286,0.266,1,PAYMENT,8
0.458,-1.748,2,CASH_OUT,8
0.362,-1.726,2,CASH_OUT,12
-2.03,1.138,4,PAYMENT,15
1.107,-1.914,2,CASH_OUT,11
-1.968,-1.026,1,PAYMENT,13
-2.282,0.286,1,PAYMENT,20
-3.902,1.409,4,PAYMENT,4
1.587,1.76,0,CASH_IN,14
1.925,1.874,0,CASH_IN,9
1.515,1.4,0,CASH_IN,2
-2.297,0.83,4,PAYMENT,25
-1.426,-1.164,1,PAYMENT,15
0.47,-1.76,2,CASH_OUT,6
1.995,1.319,0,CASH_IN,1
-3.103,1.062,4,PAYMENT,11
0.856,-0.135,3,CASH_OUT,17
1.331,-1.857,2,TRANSFER,9
1.353,-0.068,3,CASH_OUT,17
-1.395,-1.179,1,PAYMENT,1
1.75,-0.088,3,CASH_OUT,24
-2.831,0.877,4,PAYMENT,6
1.828,-0.18,3,CASH_OUT,8
-2.487,1.084,4,PAYMENT,12
1.048,0.11,3,CASH_OUT,9
-1.419,2.006,4,CASH_IN,13
1.973,-0.183,3,TRANSFER,8
-1.178,-1.235,1,PAYMENT,1
0.569,-1.75,2,CASH_OUT,14
-2.326,0.847,4,PAYMENT,6
-1.959,1.01,4,PAYMENT,21
2.464,1.293,3,CASH_IN,9
0.687,1.668,0,CASH_IN,23
1.365,1.903,0,CASH_IN,17
-1.214,-1.236,1,PAYMENT,14
0.748,-1.802,2,CASH_OUT,15
1.712,-0.005,3,TRANSFER,14
2.593,1.389,3,CASH_IN,19
1.969,1.721,0,CASH_IN,11
0.89,-1.839,2,CASH_OUT,17
0.873,-0.106,3,CASH_OUT,16
-2.394,1.143,4,PAYMENT,1
-1.026,-1.291,1,PAYMENT,13
-1.728,-1.084,1,PAYMENT,1
0.83,-0.57,2,CASH_OUT,4
1.875,1.908,0,CASH_IN,9
1.467,-0.159,3,CASH_OUT,13
-1.464,0.701,4,CASH_OUT,17
1.218,-1.938,2,CASH_OUT,6
-1.464,-1.176,1,PAYMENT,7
-1.49,-1.13,1,PAYMENT,12
-2.383,0.793,4,PAYMENT,1
2.582,-0.163,3,TRANSFER,11
1.701,1.857,0,CASH_IN,14
-2.818,1.341,4,PAYMENT,14
1.624,-0.197,3,CASH_OUT,11
-0.266,0.161,3,CASH_OUT,27
-2.839,1.045,4,PAYMENT,11
-1.86,-1.068,1,PAYMENT,6
-1.319,0.203,1,PAYMENT,16
2.617,1.412,3,CASH_IN,13
0.005,-1.63,2,CASH_OUT,2
-2.743,1.046,4,PAYMENT,13
1.497,-1.908,2,TRANSFER,16
1.047,1.23,0,CASH_IN,2
-1.148,-1.257,1,PAYMENT,13
-2.65,1.196,4,PAYMENT,10
-1.369,-1.168,1,PAYMENT,13
-2.54,0.802,4,PAYMENT,29
1.802,1.706,0,CASH_IN,17
0.683,-1.774,2,CASH_OUT,4
-2.345,1.244,4,PAYMENT,17
1.041,-1.791,2,TRANSFER,2
1.348,1.791,0,CASH_IN,9
2.03,1.853,0,CASH_IN,14
0.897,-1.832,2,CASH_OUT,10
-2.459,0.92,4,PAYMENT,8
-0.173,-2.633,2,CASH_OUT,11
-2.635,1.003,4,PAYMENT,6
0.895,-0.095,3,CASH_OUT,13
0.175,-1.662,2,CASH_OUT,9
-4.091,1.045,4,PAYMENT,4
1.038,-1.885,2,CASH_OUT,2
-2.359,0.983,4,PAYMENT,20
-1.94,-1.044,1,PAYMENT,17
1.91,1.07,3,CASH_IN,7
-1.085,-1.244,1,PAYMENT,13
-2.239,0.915,4,PAYMENT,10
1.354,-1.837,2,TRANSFER,6
-1.839,-1.042,1,PAYMENT,4
-1.794,0.972,4,PAYMENT,6
1.316,1.539,3,CASH_IN,17
0.442,0.116,3,CASH_OUT,17
-3.013,0.481,4,PAYMENT,6
1.41,1.986,0,CASH_IN,11
-2.139,0.82,4,PAYMENT,9
-2.119,-0.159,4,CASH_OUT,12
0.726,-1.791,2,CASH_OUT,17
-2.782,0.962,4,PAYMENT,10
0.952,-1.857,2,CASH_OUT,6
-1.015,-1.294,1,PAYMENT,14
-1.639,-1.117,1,PAYMENT,15
0.434,-1.728,2,CASH_OUT,17
-2.774,1.224,4,PAYMENT,15
-2.395,1.181,4,PAYMENT,16
0.705,-1.819,2,CASH_OUT,6
-2.158,1.102,4,PAYMENT,6
1.061,-1.916,2,CASH_OUT,17
-2.64,-0.873,1,PAYMENT,17
-2.736,1.331,4,PAYMENT,2
1.494,1.847,0,CASH_IN,14
1.78,1.632,0,CASH_IN,17
1.766,1.631,0,CASH_IN,10
0.94,-1.875,2,CASH_OUT,9
0.47,-1.749,2,CASH_OUT,2
1.226,-1.834,2,TRANSFER,13
-0.873,0.042,3,PAYMENT,11
1.982,1.294,0,CASH_IN,1
2.208,1.267,0,CASH_IN,7
2.207,-0.664,3,TRANSFER,10
-2.139,1.003,4,PAYMENT,13
-0.931,-1.287,1,PAYMENT,13
-2.4,0.979,4,PAYMENT,17
-2.137,0.816,4,PAYMENT,12
